"ES.ID","yi","vi","direction","SE","parental","Study.ID","Cross.ID","File","Source","Study.name","Genus","spL.name","spS.name","species.pair","Female.pref","homologous","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Bottleneck.spLF","Bottleneck.spLM","Bottleneck.spSF","Bottleneck.spSM","pheno.div.diff","pheno.div.ratio","reciprocal","distribution","source_distribution","taxa","souce_sex.determinaton","sex.determination","hetero.sex","divergence.cytb","divergence.COI","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","sq.divergence.COI"
"ES334",1.17119174801891,0.276410109625137,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_minfreqcenter",67349.2843,8118.60064674092,NA,NA,NA,NA,61936.1854556733,24915.9881116986,NA,67142.27275,7703.64707362062,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.606378831308978,-0.679428873141911,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES335",1.27425678861124,0.275763975222373,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_maxfreqcenter",71150.9535,8127.7818883611,NA,NA,NA,NA,65518.2060007003,26340.0697981856,NA,71632.0455,7409.14985066535,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.565562711790101,-0.673785715567096,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES337",3.52561778937824,1.1398687317587,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropycentre",0.1901,0.0166896508185296,NA,NA,NA,NA,0.499516239114063,1.24589977993302,NA,0.199,0.0134412301024373,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205710435615,-0.613635592502185,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES338",1.19167862228021,0.276114622964314,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_peakfrequmax",68911.7817,8343.31689129687,NA,NA,NA,NA,63978.4102443745,25657.4176630409,NA,68920.4545,7723.19456008637,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.635915480585585,-0.683980842599133,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES339",1.16652274704965,0.276290152760574,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_minfreqmax",67480.7775,8341.8147142403,NA,NA,NA,NA,62686.62733218,25145.8487055218,NA,67252.9545,7730.31449702712,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.60327958570222,-0.67896113341484,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES340",1.25316109456548,0.27577369462222,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_maxfrequmax",71293.2103,8344.54296799413,NA,NA,NA,NA,66036.0423216321,26494.06387329,NA,71630.75775,7551.5296523871,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.586939397026437,-0.676892751849941,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES342",3.39215434460636,1.16715813566266,"-",0.546881085104552,"Mother","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropymax",0.1878,0.0161644328353608,NA,NA,NA,NA,0.49283587293493,1.24769896424312,NA,0.19975,0.0156498136304132,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205256228959,-0.589069658596341,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES343",0.839145175720166,0.184711968351556,"-",0.468320982069382,"Mother","s20","Drosophila_montana_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_montana","Drosophila_virilis","Drosophila_montana_Drosophila_virilis",NA,"Yes","sound","PI",20.7,2.71,NA,NA,NA,NA,20,2.74,NA,19.7,1.25,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.637058115610609,-0.607838092482558,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-1.04575749056068,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,0.0195887928952876
"ES345",0.856912755352879,0.113748286559891,"-",0.405577867597361,"Mother","s20","Drosophila_littoralis_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_littoralis","Drosophila_virilis","Drosophila_littoralis_Drosophila_virilis",NA,"Yes","sound","PI",41.2,4.96,NA,NA,NA,NA,19.4,2.9,NA,19.7,1.25,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.634005251204786,0.453312561583434,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.892790030352132,-0.913640169325252,0.955,0,0.16,0.99,0,-1.80469626025877,"Orr_Coyne_1989_Drosophila","fertility_table2&3",NA,NA,NA,0.0804956216966462
"ES346",-0.0747235461959363,0.111860447605223,"-",0.405577867597361,"Mother","s20","Drosophila_littoralis_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_littoralis","Drosophila_virilis","Drosophila_littoralis_Drosophila_virilis",NA,"Yes","sound","IPI",286,51.5,NA,NA,NA,NA,39.4,2.32,NA,19.7,1.25,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.59754958259281,3.44041500545621,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.892790030352132,-0.913640169325252,0.955,0,0.16,0.99,0,-1.80469626025877,"Orr_Coyne_1989_Drosophila","fertility_table2&3",NA,NA,NA,0.0804956216966462
"ES347",0.622822810777542,0.11291287492752,"-",0.405577867597361,"Mother","s20","Drosophila_flavomontana_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_flavomontana","Drosophila_virilis","Drosophila_flavomontana_Drosophila_virilis",NA,"Yes","sound","PI",27.1,2.38,NA,22.9,2.18,NA,17.5,2.07,NA,19.7,1.25,NA,NA,NA,10,10,10,10,NA,NA,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.636105026235133,-0.192507388971434,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,0.0132586652835165,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,1.66998986315985
"ES348",0.170592016968147,0.112080043930094,"-",0.405577867597361,"Mother","s20","Drosophila_flavomontana_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_flavomontana","Drosophila_virilis","Drosophila_flavomontana_Drosophila_virilis",NA,"Yes","sound","IPI",113,8.93,NA,42.6,5.21,NA,29.5,2.22,NA,19.7,1.25,NA,NA,NA,10,10,10,10,NA,NA,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.623312779773659,2.00879767140984,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,0.0132586652835165,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,1.66998986315985
"ES349",0.6903987316827,0.134809875522372,"-",0.427516610053955,"Mother","s20","Drosophila_flavomontana_Drosophila_montana","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_montana","Drosophila_flavomontana","Drosophila_flavomontana_Drosophila_montana",NA,"Yes","sound","pause",15,2.21,NA,NA,NA,NA,39,8.88,NA,85.7,9.94,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.626678376630811,2.00268247709025,"Inviable","Allopatry","original paper","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,0.104828403653655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93743677085669
"ES350",-0.444478048226261,0.128139358198401,"-",0.427516610053955,"Mother","s20","Drosophila_flavomontana_Drosophila_montana","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_montana","Drosophila_flavomontana","Drosophila_flavomontana_Drosophila_montana",NA,"Yes","sound","PI",20.7,2.71,NA,NA,NA,NA,16.6,0.92,NA,27.1,2.38,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.636253946450051,-0.268844153917859,"Inviable","Allopatry","original paper","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,0.104828403653655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93743677085669
"ES352",0.321388320512663,0.186354077791332,"-",0.468320982069382,"Mother","s20","Drosophila_flavomontana_Drosophila_littoralis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_littoralis","Drosophila_flavomontana","Drosophila_flavomontana_Drosophila_littoralis",NA,"Yes","sound","pause",245,52.4,NA,NA,NA,NA,128,19.1,NA,85.7,9.94,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.613484045589058,0.935222183331402,"Inviable","Allopatry","original paper","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-0.193820026016113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138398287261
"ES353",-0.707428689205334,0.181653024781547,"-",0.468320982069382,"Mother","s20","Drosophila_flavomontana_Drosophila_littoralis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_littoralis","Drosophila_flavomontana","Drosophila_flavomontana_Drosophila_littoralis",NA,"Yes","sound","PI",41.2,4.96,NA,NA,NA,NA,20.8,0.84,NA,27.1,2.38,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.635107260795181,-0.038354906874114,"Inviable","Allopatry","original paper","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-0.193820026016113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138398287261
"ES354",0.559891929556847,0.184511064868623,"-",0.468320982069382,"Mother","s20","Drosophila_flavomontana_Drosophila_littoralis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_littoralis","Drosophila_flavomontana","Drosophila_flavomontana_Drosophila_littoralis",NA,"Yes","sound","IPI",286,51.5,NA,NA,NA,NA,148,19.1,NA,113,8.93,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.611443838644679,0.747442476617396,"Inviable","Allopatry","original paper","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-0.193820026016113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138398287261
"ES355",-0.0891140075458546,0.138036628662148,"-",0.270385245064907,"Mother","s22","KW L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_paranigra","Laupala_kohalensis","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse period",1.423,0.15,NA,0.596,0.015,NA,0.464,0.014,NA,0.271,0.01,NA,28,28,2,2,5,5,40,40,28,2,5,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.637035479737942,1.87256581403171,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES356",-0.0288650857715398,0.138045043111877,"-",0.270385245064907,"Mother","s22","KW L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_paranigra","Laupala_kohalensis","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse rate",0.718,0.079,NA,1.678,0.042,NA,2.159,0.067,NA,3.694,0.132,NA,28,28,2,2,5,5,40,40,28,2,5,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.636763849265931,1.84110276588051,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES357",0.870870652312706,0.52093611539573,"-",0.336814086326795,"Mother","s22","KW L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_kohalensis","Laupala_paranigra","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Carrier frequency",4.927,0.246,NA,5.293,0.304,NA,5.293,0.304,NA,5.118,0.199,NA,38,38,5,5,2,2,27,27,38,5,2,27,NA,NA,NA,NA,NA,NA,NA,NA,-0.637178592064478,-0.625539149705912,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES358",-0.491839911144116,0.139957556541016,"-",0.279875318060452,"Mother","s22","KW L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_paranigra","Laupala_kohalensis","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse duration",38.37,4.53,NA,38.76,0.34,NA,38.4,2.33,NA,39.77,4.41,NA,27,27,2,2,5,5,37,37,27,2,5,37,NA,NA,NA,NA,NA,NA,NA,NA,-0.636998547524642,-0.628925465484421,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES359",0.223934174974374,0.0686057454015581,"-",0.256509966032373,"Mother","s22","OF L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_paranigra","Laupala_kohalensis","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse period",1.079,0.087,NA,0.573,0.027,NA,0.52,0.023,NA,0.271,0.01,NA,27,27,4,4,10,10,40,40,27,4,10,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.637086708291874,1.4459305233961,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES360",0.26606433043948,0.0686075791332445,"-",0.256509966032373,"Mother","s22","OF L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_paranigra","Laupala_kohalensis","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse rate",0.933,0.078,NA,1.748,0.08,NA,1.925,0.086,NA,3.694,0.132,NA,27,27,4,4,10,10,40,40,27,4,10,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.636795867112138,1.43727982943486,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES361",0.208330472251158,0.188179828970601,"-",0.336814086326795,"Mother","s22","OF L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_kohalensis","Laupala_paranigra","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Carrier frequency",4.927,0.246,NA,4.994,0.096,NA,5.019,0.245,NA,5.081,0.233,NA,38,38,10,10,4,4,25,25,38,10,4,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.63718410211243,-0.636725088405679,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES362",1.92879891647616,0.189694938894134,"-",0.336814086326795,"Mother","s22","OF L. paranigra","Shaw-1996-Evolution","table4","Shaw_1996","Laupala","Laupala_kohalensis","Laupala_paranigra","Laupala_kohalensis_Laupala_paranigra",NA,"Yes","sound","Pulse duration",39.77,4.41,NA,39.96,1.85,NA,35.94,3.36,NA,38.17,0.6,NA,37,37,10,10,4,4,25,25,37,10,4,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.636968763481658,-0.620868547853836,"Viable","Allopatry","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES363",0.84666984786531,0.459593598499159,"-",0.604599788078073,"Mother","s25","Drosophila_lummei_Drosophila_virilis","Suvanto_Drosophila.song_BehavGen1994","table 1&2","Suvanto et al_1994","Drosophila","Drosophila_lummei","Drosophila_virilis","Drosophila_lummei_Drosophila_virilis",NA,"Yes","sound","inhbt_PL",9,3.5774005555486,NA,10,3.18417274137474,NA,11,8.37087553323193,NA,11,3.74250547996682,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,105,104,87,112,NA,NA,NA,NA,-0.636909195395691,-0.374803318537842,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.22184874961636,-1.24412514432751,0.975,0.98,0.95,0.99,-0.00254777207879866,-0.0336383591488298,"Orr_Coyne_1989_Drosophila","fertility_table2&3",NA,"Parents: ?? (mass culture)_SD estimated by Wan et al 2014",NA,0.0057585168235051
"ES364",1.52836964258491,0.600214016535335,"-",0.604599788078073,"Mother","s25","Drosophila_lummei_Drosophila_virilis","Suvanto_Drosophila.song_BehavGen1994","table 1&2","Suvanto et al_1994","Drosophila","Drosophila_lummei","Drosophila_virilis","Drosophila_lummei_Drosophila_virilis",NA,"Yes","sound","inhbt_CN",3,0.993722376541278,NA,3,0.995053981679607,NA,3,3.26668313491978,NA,4,0.984869863149162,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,105,104,87,112,NA,NA,NA,NA,-0.637058115610609,-0.24065895063039,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.22184874961636,-1.24412514432751,0.975,0.98,0.95,0.99,-0.00254777207879866,-0.0336383591488298,"Orr_Coyne_1989_Drosophila","fertility_table2&3",NA,"Parents: ?? (mass culture)_SD estimated by Wan et al 2014",NA,0.0057585168235051
"ES365",0.473698463178453,0.321319782042924,"-",0.573573720954548,"Mother","s25","Drosophila_lummei_Drosophila_virilis","Suvanto_Drosophila.song_BehavGen1994","table 1&2","Suvanto et al_1994","Drosophila","Drosophila_virilis","Drosophila_lummei","Drosophila_lummei_Drosophila_virilis",NA,"Yes","sound","inhbt_IPI",46,30.530965757624,NA,48,30.2168189980079,NA,53,26.8664575053494,NA,51,16.0983024999687,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,112,87,104,105,NA,NA,NA,NA,-0.636462434750937,-0.525096991675429,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.22184874961636,-1.24412514432751,0.99,0.95,0.98,0.975,-0.0336383591488298,-0.00254777207879866,"Orr_Coyne_1989_Drosophila","fertility_table2&3",NA,"Parents: ?? (mass culture)_SD estimated by Wan et al 2014",NA,0.0057585168235051
"ES366",1.10133074833929,0.895546829121329,"-",0.685551720847258,"Mother","s25","Drosophila_borealis_Drosophila_virilis","Suvanto_Drosophila.song_BehavGen1994","table 1&2","Suvanto et al_1994","Drosophila","Drosophila_borealis","Drosophila_virilis","Drosophila_borealis_Drosophila_virilis",NA,"Yes","sound","inhbt_PL",8,9.66134869582822,NA,12,5.93092560184646,NA,12,8.44097165424866,NA,11,3.74250547996682,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,5,96,86,51,112,NA,NA,NA,NA,-0.636760275180773,-0.193218663576808,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-0.920818753952375,NA,NA,NA,0.99,NA,NA,NA,NA,NA,"Parents: ?? (mass culture)_SD estimated by Wan et al 2014",NA,0.0761243683810001
"ES367",1.11934925384197,0.771444788182681,"-",0.685551720847258,"Mother","s25","Drosophila_borealis_Drosophila_virilis","Suvanto_Drosophila.song_BehavGen1994","table 1&2","Suvanto et al_1994","Drosophila","Drosophila_borealis","Drosophila_virilis","Drosophila_borealis_Drosophila_virilis",NA,"Yes","sound","inhbt_CN",2,1.81150288046779,NA,3,1.84063208333166,NA,3,1.55491583104581,NA,4,0.984869863149162,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,5,96,86,51,112,NA,NA,NA,NA,-0.636909195395691,0.384441611129235,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-0.920818753952375,NA,NA,NA,0.99,NA,NA,NA,NA,NA,"Parents: ?? (mass culture)_SD estimated by Wan et al 2014",NA,0.0761243683810001
